id,start_date,end_date,associate_id,entity,department,division,sub_division,position,job,work_location,cost_center,region,level,is_active,updated_on,external_ref_id,org_code,is_org_head,grade,country,base_work_location,work_permit_status,is_mezzanine_member,is_mtm_member
"12848","2015-05-20 00:00:00","2023-02-21 00:00:00","1030","1","1466","3","10","116","47","1","CKTXXXPMO",\N,"5","1","2024-07-05 10:52:32",\N,"21465","0",\N,"4",\N,\N,"0","0"
"12849","2015-05-25 00:00:00","2024-09-19 00:00:00","1035","1","914","3","27","206","47","8","CKTKMNSBU","2","4","1","2024-09-20 05:40:08",\N,"20914","1",\N,"4",\N,\N,"0","0"
"12850","2015-06-01 00:00:00","2023-02-02 00:00:00","1039","1","1","3","30","227","10","1","CKTXXXMGT",\N,"7","1","2025-04-24 05:52:08",\N,"21972","1",\N,"4",\N,\N,"1","0"
"12851","2015-06-03 00:00:00","2024-06-02 00:00:00","1041","1","916","3","24","234","21","2","CKTKEUSBU",\N,"7","1","2024-07-05 10:52:32",\N,"20916","0",\N,"4",\N,\N,"0","0"
"12852","2015-07-06 00:00:00","2023-02-21 00:00:00","1071","1","1466","3","10","116","47","8","CKTXXXPMO",\N,"5","1","2024-07-05 10:52:32",\N,"21465","0",\N,"4",\N,\N,"0","0"
"12853","2015-07-13 00:00:00","2023-02-21 00:00:00","1078","1","1467","3","10","116","39","1","CKTXXXPMO",\N,"5","1","2024-07-05 10:52:32",\N,"21466","0",\N,"4",\N,\N,"0","0"
"12854","2015-08-12 00:00:00","2023-02-06 00:00:00","1099","1","1087","3","13","156","78","1","CKTXXXOHO",\N,"4","1","2024-08-30 16:24:35",\N,"21087","1",\N,"4",\N,\N,"0","0"
"12855","2015-08-16 00:00:00","2023-02-21 00:00:00","1108","1","1466","3","10","116","10","1","CKTXXXPMO",\N,"5","1","2024-08-30 16:24:35",\N,"21465","0",\N,"4",\N,\N,"0","0"
"12856","2015-09-28 00:00:00","2023-02-21 00:00:00","1142","1","9","3","10","116","2","1","CKTXXXPMO",\N,"5","1","2024-07-05 10:52:32",\N,"20009","0",\N,"4",\N,\N,"0","0"
"12857","2015-09-28 00:00:00","2024-09-19 00:00:00","1144","1","1026","3","22","117","39","8","CKTKMNSBU","2","4","1","2024-09-20 06:02:47",\N,"21026","1",\N,"4",\N,\N,"0","0"
"12858","2015-10-12 00:00:00","2023-03-05 00:00:00","1160","1","1016","3","9","15","78","2","CKTXXXKBS",\N,"7","1","2024-08-30 16:24:35",\N,"21739","1",\N,"4",\N,\N,"0","0"
"12859","2015-10-19 00:00:00","2023-05-24 00:00:00","1164","1","1037","3","6","156","78","1","CKTXXXOHO",\N,"4","1","2024-08-30 16:24:35",\N,"21037","1",\N,"4",\N,\N,"0","0"
"12860","2015-11-18 00:00:00","2023-05-02 00:00:00","1194","1","57","2","14","79","47","2","CKTXXXOHO",\N,"5","1","2024-07-05 10:52:32",\N,"20057","1",\N,"4",\N,\N,"0","0"
"12861","2015-12-14 00:00:00","2024-01-03 00:00:00","1210","1","1688","2","11","17","14","1","CKTXXXOHO",\N,"6","1","2024-07-05 10:52:32",\N,"21676","1",\N,"4",\N,\N,"0","0"
"12862","2016-01-11 00:00:00","2023-02-21 00:00:00","1222","1","1466","3","10","116","39","5","CKTXXXPMO",\N,"5","1","2024-07-05 10:52:32",\N,"21465","0",\N,"4",\N,\N,"0","0"
"12863","2008-04-21 00:00:00","2024-04-20 00:00:00","1225","1","311","3","22","117","39","1","CKTXXXMGT",\N,"4","1","2024-07-05 10:52:32",\N,"20311","1",\N,"4",\N,\N,"0","0"
"12864","2011-06-20 00:00:00","2024-06-03 00:00:00","1249","1","1469","3","22","117","2","18","CKTKUMSBU",\N,"4","1","2024-07-05 10:52:32",\N,"21468","1",\N,"4",\N,\N,"0","0"
"12865","2016-04-25 00:00:00","2023-02-21 00:00:00","1257","1","1466","3","10","116","78","8","CKTXXXPMO",\N,"5","1","2024-08-30 16:24:35",\N,"21465","0",\N,"4",\N,\N,"0","0"
"12866","2016-06-01 00:00:00","2023-02-08 00:00:00","1277","1","1795","2","11","27","14","7","CKTKDVSBU",\N,"4","1","2024-07-05 10:52:32",\N,"21781","1",\N,"4",\N,\N,"0","0"
"12867","2016-06-01 00:00:00","2023-04-09 00:00:00","1278","1","1661","2","11","17","16","1","CKTXXXOHO",\N,"6","1","2024-07-05 10:52:32",\N,"21651","1",\N,"4",\N,\N,"0","0"
"12868","2016-06-01 00:00:00","2024-01-04 00:00:00","1280","1","1696","2","11","17","16","10","CKTXXXOHO",\N,"6","1","2024-07-05 10:52:32",\N,"21683","1",\N,"4",\N,\N,"0","0"
"12869","2016-06-01 00:00:00","2024-01-04 00:00:00","1283","1","1493","2","11","97","14","1","CKTXXXOHO",\N,"5","1","2024-07-05 10:52:32",\N,"21490","1",\N,"4",\N,\N,"0","0"
"12870","2016-06-01 00:00:00","2023-12-27 00:00:00","1289","1","1933","2","11","17","16","12","CKTXXXOHO",\N,"6","1","2024-07-05 10:52:32",\N,"21917","1",\N,"4",\N,\N,"0","0"
"12871","2016-06-01 00:00:00","2023-02-21 00:00:00","1290","1","1466","3","10","116","78","5","CKTXXXPMO",\N,"5","1","2024-08-30 16:24:35",\N,"21465","0",\N,"4",\N,\N,"0","0"
"12872","2016-06-01 00:00:00","2023-12-27 00:00:00","1294","1","1660","2","11","17","16","12","CKTXXXOHO",\N,"6","1","2024-07-05 10:52:32",\N,"21650","1",\N,"4",\N,\N,"0","0"
"12873","2016-06-01 00:00:00","2023-03-07 00:00:00","1300","1","16","2","11","97","14","1","CKTXXXOHO",\N,"5","1","2024-07-05 10:52:32",\N,"21980","1",\N,"4",\N,\N,"0","0"
"12874","2016-06-01 00:00:00","2023-12-27 00:00:00","1301","1","360","2","11","17","14","1","CKTXXXOHO",\N,"6","1","2024-07-05 10:52:32",\N,"20360","1",\N,"4",\N,\N,"0","0"
"12875","2016-09-12 00:00:00","2023-03-23 00:00:00","1336","1","81","1","27","71","78","1","CKTKUMSBU",\N,"3","1","2025-03-31 06:00:43",\N,"20081","1",\N,"4",\N,\N,"0","0"
"12876","2016-09-14 00:00:00","2023-05-15 00:00:00","1340","1","1593","3","13","156","78","3","CKTKUPSBU",\N,"4","1","2024-08-30 16:24:35",\N,"21587","1",\N,"4",\N,\N,"0","0"
